Activation,Metric,Region,n,mean,sd,ci_boot_low,ci_boot_high,ci_norm_low,ci_norm_high
swish,Dice,ET,73,0.8118,0.0918,0.7897,0.8315,0.7907,0.8329
swish,Dice,TC,73,0.864,0.1189,0.8348,0.8896,0.8367,0.8913
swish,Dice,WT,73,0.8711,0.098,0.8466,0.8915,0.8486,0.8936
swish,Dice,NCR,73,0.676,0.2437,0.6182,0.7276,0.6201,0.7319
swish,Dice,ED,73,0.7845,0.1349,0.7527,0.8141,0.7535,0.8154
swish,HD95,ET,73,2.1302,3.496,1.4622,3.0229,1.3282,2.9322
swish,HD95,TC,73,2.8579,5.3272,1.7609,4.1918,1.6358,4.0799
swish,HD95,WT,73,2.5393,3.7567,1.7688,3.4471,1.6775,3.4011
swish,HD95,NCR,73,6.0386,7.1806,4.5194,7.7627,4.3913,7.6858
swish,HD95,ED,73,3.6898,4.3671,2.7785,4.778,2.688,4.6916
swish,Sens,ET,73,0.8176,0.134,0.7853,0.8463,0.7868,0.8483
swish,Sens,TC,73,0.8396,0.1237,0.8106,0.8664,0.8112,0.868
swish,Sens,WT,73,0.8661,0.139,0.8333,0.8954,0.8342,0.8979
swish,Sens,NCR,73,0.6455,0.2364,0.5877,0.6993,0.5912,0.6997
swish,Sens,ED,73,0.8001,0.1701,0.7588,0.8367,0.761,0.8391
swish,Prec,ET,73,0.8273,0.0957,0.8056,0.8481,0.8053,0.8492
swish,Prec,TC,73,0.906,0.134,0.8726,0.9339,0.8753,0.9367
swish,Prec,WT,73,0.8963,0.0797,0.8774,0.9137,0.878,0.9146
swish,Prec,NCR,73,0.7839,0.2467,0.7251,0.8356,0.7273,0.8405
swish,Prec,ED,73,0.8003,0.1322,0.7702,0.8306,0.77,0.8307
mish,Dice,ET,73,0.8055,0.1094,0.7798,0.8288,0.7804,0.8306
mish,Dice,TC,73,0.8625,0.127,0.8319,0.8897,0.8333,0.8916
mish,Dice,WT,73,0.8768,0.0826,0.8574,0.8946,0.8579,0.8958
mish,Dice,NCR,73,0.6606,0.2584,0.6004,0.7182,0.6013,0.7199
mish,Dice,ED,73,0.7892,0.1276,0.7596,0.8168,0.7599,0.8184
mish,HD95,ET,73,2.2563,4.0286,1.4755,3.2642,1.3321,3.1805
mish,HD95,TC,73,3.0404,5.2928,1.9483,4.3446,1.8263,4.2546
mish,HD95,WT,73,2.2594,2.9931,1.642,2.9716,1.5728,2.946
mish,HD95,NCR,73,5.9398,6.632,4.5732,7.5123,4.4185,7.4612
mish,HD95,ED,73,3.4141,3.6058,2.6378,4.2349,2.5869,4.2412
mish,Sens,ET,73,0.8372,0.141,0.8031,0.8674,0.8048,0.8695
mish,Sens,TC,73,0.863,0.1005,0.8395,0.8848,0.8399,0.8861
mish,Sens,WT,73,0.8806,0.1141,0.853,0.9044,0.8545,0.9068
mish,Sens,NCR,73,0.6452,0.234,0.589,0.6976,0.5915,0.6989
mish,Sens,ED,73,0.8102,0.1518,0.7741,0.8435,0.7754,0.845
mish,Prec,ET,73,0.8031,0.1121,0.7771,0.8261,0.7774,0.8288
mish,Prec,TC,73,0.8821,0.16,0.8427,0.9146,0.8454,0.9188
mish,Prec,WT,73,0.8874,0.0903,0.866,0.9067,0.8667,0.9081
mish,Prec,NCR,73,0.7674,0.272,0.704,0.827,0.705,0.8298
mish,Prec,ED,73,0.7953,0.1419,0.7624,0.8263,0.7627,0.8278
elish,Dice,ET,73,0.7997,0.1318,0.7671,0.8269,0.7695,0.8299
elish,Dice,TC,73,0.8549,0.1557,0.8178,0.8876,0.8191,0.8906
elish,Dice,WT,73,0.8688,0.1154,0.8407,0.8926,0.8424,0.8953
elish,Dice,NCR,73,0.6598,0.2595,0.5976,0.7187,0.6003,0.7194
elish,Dice,ED,73,0.7829,0.1421,0.7481,0.8141,0.7503,0.8155
elish,HD95,ET,73,2.2689,4.6722,1.4297,3.5301,1.197,3.3407
elish,HD95,TC,73,2.857,5.601,1.7394,4.2512,1.5721,4.1419
elish,HD95,WT,73,2.3384,3.782,1.6157,3.3423,1.4708,3.206
elish,HD95,NCR,73,10.4784,43.4888,4.3577,21.469,0.5021,20.4548
elish,HD95,ED,73,3.5876,4.4142,2.6835,4.6937,2.575,4.6002
elish,Sens,ET,73,0.8321,0.1579,0.7925,0.8654,0.7959,0.8684
elish,Sens,TC,73,0.848,0.1616,0.8067,0.8818,0.8109,0.8851
elish,Sens,WT,73,0.875,0.1481,0.8389,0.9057,0.8411,0.909
elish,Sens,NCR,73,0.6324,0.2555,0.5713,0.6873,0.5738,0.691
elish,Sens,ED,73,0.8081,0.1675,0.7678,0.8454,0.7697,0.8465
elish,Prec,ET,73,0.8015,0.1073,0.7763,0.8251,0.7769,0.8261
elish,Prec,TC,73,0.8934,0.1368,0.859,0.922,0.862,0.9248
elish,Prec,WT,73,0.8878,0.0861,0.8672,0.9067,0.868,0.9075
elish,Prec,NCR,73,0.7754,0.2483,0.7159,0.828,0.7184,0.8323
elish,Prec,ED,73,0.7943,0.1421,0.7609,0.8249,0.7617,0.8269
hard_elish,Dice,ET,73,0.8044,0.0813,0.7848,0.8221,0.7857,0.823
hard_elish,Dice,TC,73,0.8654,0.102,0.8411,0.8859,0.842,0.8888
hard_elish,Dice,WT,73,0.8727,0.08,0.854,0.89,0.8544,0.8911
hard_elish,Dice,NCR,73,0.67,0.2347,0.6158,0.7222,0.6162,0.7239
hard_elish,Dice,ED,73,0.7845,0.1288,0.7536,0.813,0.755,0.814
hard_elish,HD95,ET,73,1.8745,2.6339,1.3634,2.5531,1.2703,2.4787
hard_elish,HD95,TC,73,2.5286,4.8185,1.5935,3.764,1.4232,3.6339
hard_elish,HD95,WT,73,2.0932,2.4934,1.5824,2.6974,1.5212,2.6651
hard_elish,HD95,NCR,73,5.6909,6.5686,4.3096,7.2933,4.184,7.1977
hard_elish,HD95,ED,73,3.3751,3.5009,2.6593,4.2204,2.572,4.1782
hard_elish,Sens,ET,73,0.8239,0.1155,0.7963,0.8499,0.7974,0.8504
hard_elish,Sens,TC,73,0.8312,0.1191,0.804,0.8581,0.8039,0.8586
hard_elish,Sens,WT,73,0.8952,0.107,0.8694,0.9176,0.8707,0.9198
hard_elish,Sens,NCR,73,0.6023,0.244,0.5468,0.6567,0.5464,0.6583
hard_elish,Sens,ED,73,0.841,0.14,0.8084,0.8716,0.8089,0.8731
hard_elish,Prec,ET,73,0.804,0.1078,0.7787,0.8275,0.7793,0.8288
hard_elish,Prec,TC,73,0.918,0.1151,0.8892,0.9415,0.8916,0.9444
hard_elish,Prec,WT,73,0.8667,0.0992,0.8427,0.8882,0.8439,0.8895
hard_elish,Prec,NCR,73,0.8352,0.205,0.7858,0.8788,0.7881,0.8822
hard_elish,Prec,ED,73,0.7596,0.1541,0.7237,0.7927,0.7242,0.7949
